artist,music_type
Larry Verne,Type B
The Playmates,Type B
The Great Luke Ski,Type B
Mojo Nixon & Skid Roper,Type B
Great Big Sea,Type B
Care Bears On Fire,Type B
Van Halen,Type B
Ivor Cutler,Type B
Parry Gripp,Type B
Glam Chops,Type B
Man Bites God,Type B
Ty Kovatch,Type B
Liam Lynch,Type B
Various Artists,Type B
Vaccepos,Type B
Knatten/Bobo,Type B
Prince,Type B
Over the Rhine,Type B
Die Ärzte,Type B
Calvin Harris,Type B
Simon & Garfunkel,Type B
The Proclaimers,Type B
Ben Folds,Type B
The Cat Empire,Type B
The Concretes,Type B
Jackson Cassidy,Type B
The Kooks,Type B
Cassius,Type B
Parov Stelar,Type B
Kero Kero Bonito,Type B
Bob Dylan,Type B
Jazmine Sullivan,Type B
Black Eyed Peas,Type B
Honne,Type B
Green Day,Type B
The Kinks,Type B
Taylor Swift,Type B
Erroll Garner,Type B
Perfume,Type B
The Pipettes,Type B
Port O'Brien,Type B
Free Loan Investments,Type B
Hilary Duff,Type B
The Jackson 5,Type B
Элизиум,Type B
One Track Mind,Type B
Hellogoodbye,Type B
Mando Diao,Type B
Colbie Caillat,Type B
Ted Leo and the Pharmacists,Type B
Super Junior,Type B
John Lennon,Type B
The Avalanches,Type B
The Magic Numbers,Type B
MBF,Type B
4minute,Type B
Dogs Die in Hot Cars,Type B
Copy,Type B
Death from Above 1979,Type B
Something Corporate,Type B
Amy Adams,Type B
"Biel Ballester Trio, Graci Pedro, Leo Hipaucha",Type B
Passion Pit,Type B
Ty Showers,Type B
Eliza Doolittle,Type B
Vic Damone,Type B
L'Arc~en~Ciel,Type B
Cesária Évora,Type B
Amor Antiquita,Type B
DJ Shadow,Type B
The Chieftains,Type B
Yevgueni,Type B
Betty Who,Type B
twisterium,Type B
大塚愛,Type B
Nerina Pallot,Type B
Battles,Type B
Lianne La Havas,Type B
Jackie Mittoo,Type B
The Dirty Dozen Brass Band,Type B
The 88,Type B
Harry Belafonte,Type B
Chris Brown,Type B
Pharrell Williams,Type B
Harold McNair,Type B
Todd Rundgren,Type B
Toots and The Maytals,Type B
Georg Friedrich Händel,Type B
Traveling Wilburys,Type B
